stage=pretrain mode=tied params=4.34M device=cuda:0 world=2 per_gpu_batch=256 effective_batch=512
epoch=146/400 train_loss=0.0046 val_loss=1.6834 val_acc1=60.738 best=60.738 lr=7.122e-04 sec=1872.5
epoch=147/400 train_loss=0.0046 val_loss=1.6820 val_acc1=60.754 best=60.754 lr=7.087e-04 sec=1876.0
epoch=148/400 train_loss=0.0046 val_loss=1.6705 val_acc1=61.094 best=61.094 lr=7.052e-04 sec=1878.3
epoch=149/400 train_loss=0.0046 val_loss=1.6944 val_acc1=60.926 best=61.094 lr=7.016e-04 sec=1874.3
epoch=150/400 train_loss=0.0046 val_loss=1.7119 val_acc1=60.554 best=61.094 lr=6.980e-04 sec=1869.7
epoch=151/400 train_loss=0.0046 val_loss=1.6493 val_acc1=61.168 best=61.168 lr=6.944e-04 sec=1868.5
epoch=152/400 train_loss=0.0046 val_loss=1.6584 val_acc1=61.108 best=61.168 lr=6.908e-04 sec=1867.8
epoch=153/400 train_loss=0.0045 val_loss=1.6597 val_acc1=61.074 best=61.168 lr=6.872e-04 sec=1874.1
epoch=154/400 train_loss=0.0045 val_loss=1.6353 val_acc1=61.526 best=61.526 lr=6.836e-04 sec=1871.4
epoch=155/400 train_loss=0.0046 val_loss=1.6512 val_acc1=61.138 best=61.526 lr=6.800e-04 sec=1872.3
epoch=156/400 train_loss=0.0045 val_loss=1.6487 val_acc1=61.650 best=61.650 lr=6.763e-04 sec=1870.7
epoch=157/400 train_loss=0.0045 val_loss=1.6229 val_acc1=61.416 best=61.650 lr=6.727e-04 sec=1869.9
epoch=158/400 train_loss=0.0045 val_loss=1.6484 val_acc1=61.494 best=61.650 lr=6.690e-04 sec=1869.7
epoch=159/400 train_loss=0.0045 val_loss=1.6528 val_acc1=61.478 best=61.650 lr=6.653e-04 sec=1873.5
epoch=160/400 train_loss=0.0045 val_loss=1.6479 val_acc1=61.644 best=61.650 lr=6.617e-04 sec=1870.3
epoch=161/400 train_loss=0.0045 val_loss=1.6693 val_acc1=61.342 best=61.650 lr=6.580e-04 sec=1883.6
epoch=162/400 train_loss=0.0045 val_loss=1.6302 val_acc1=61.804 best=61.804 lr=6.543e-04 sec=1877.6
epoch=163/400 train_loss=0.0045 val_loss=1.6572 val_acc1=61.640 best=61.804 lr=6.505e-04 sec=1871.2
epoch=164/400 train_loss=0.0045 val_loss=1.6221 val_acc1=61.810 best=61.810 lr=6.468e-04 sec=1873.0
epoch=165/400 train_loss=0.0045 val_loss=1.6297 val_acc1=61.768 best=61.810 lr=6.431e-04 sec=1869.6
epoch=166/400 train_loss=0.0045 val_loss=1.6162 val_acc1=61.816 best=61.816 lr=6.394e-04 sec=1871.1
epoch=167/400 train_loss=0.0045 val_loss=1.5984 val_acc1=62.150 best=62.150 lr=6.356e-04 sec=1872.0
epoch=168/400 train_loss=0.0045 val_loss=1.6098 val_acc1=61.884 best=62.150 lr=6.319e-04 sec=1872.8
epoch=169/400 train_loss=0.0045 val_loss=1.6092 val_acc1=62.350 best=62.350 lr=6.281e-04 sec=1887.4
epoch=170/400 train_loss=0.0045 val_loss=1.6364 val_acc1=61.696 best=62.350 lr=6.243e-04 sec=1882.9
epoch=171/400 train_loss=0.0045 val_loss=1.6053 val_acc1=62.072 best=62.350 lr=6.206e-04 sec=1891.2
epoch=172/400 train_loss=0.0045 val_loss=1.6190 val_acc1=62.034 best=62.350 lr=6.168e-04 sec=1892.0
epoch=173/400 train_loss=0.0045 val_loss=1.5936 val_acc1=62.534 best=62.534 lr=6.130e-04 sec=1898.6
epoch=174/400 train_loss=0.0045 val_loss=1.6109 val_acc1=62.192 best=62.534 lr=6.092e-04 sec=1891.4
epoch=175/400 train_loss=0.0045 val_loss=1.6055 val_acc1=62.632 best=62.632 lr=6.054e-04 sec=1891.7
epoch=176/400 train_loss=0.0045 val_loss=1.6004 val_acc1=62.216 best=62.632 lr=6.016e-04 sec=1897.6
epoch=177/400 train_loss=0.0045 val_loss=1.5961 val_acc1=62.424 best=62.632 lr=5.978e-04 sec=1893.9
epoch=178/400 train_loss=0.0044 val_loss=1.5818 val_acc1=62.588 best=62.632 lr=5.939e-04 sec=1900.8
epoch=179/400 train_loss=0.0045 val_loss=1.5736 val_acc1=62.842 best=62.842 lr=5.901e-04 sec=1897.6
epoch=180/400 train_loss=0.0044 val_loss=1.5836 val_acc1=62.732 best=62.842 lr=5.863e-04 sec=1906.5
epoch=181/400 train_loss=0.0044 val_loss=1.5798 val_acc1=62.688 best=62.842 lr=5.824e-04 sec=1900.4
epoch=182/400 train_loss=0.0044 val_loss=1.5797 val_acc1=63.108 best=63.108 lr=5.786e-04 sec=1899.1
epoch=183/400 train_loss=0.0044 val_loss=1.5569 val_acc1=63.092 best=63.108 lr=5.747e-04 sec=1892.0
epoch=184/400 train_loss=0.0044 val_loss=1.5643 val_acc1=62.942 best=63.108 lr=5.709e-04 sec=1882.0
epoch=185/400 train_loss=0.0044 val_loss=1.5700 val_acc1=62.898 best=63.108 lr=5.670e-04 sec=1882.9
epoch=186/400 train_loss=0.0044 val_loss=1.5730 val_acc1=62.768 best=63.108 lr=5.632e-04 sec=1898.3
epoch=187/400 train_loss=0.0044 val_loss=1.5747 val_acc1=62.898 best=63.108 lr=5.593e-04 sec=1889.2
epoch=188/400 train_loss=0.0044 val_loss=1.5855 val_acc1=63.114 best=63.114 lr=5.555e-04 sec=1884.5
epoch=189/400 train_loss=0.0044 val_loss=1.5803 val_acc1=63.278 best=63.278 lr=5.516e-04 sec=1885.3
epoch=190/400 train_loss=0.0044 val_loss=1.5442 val_acc1=63.582 best=63.582 lr=5.477e-04 sec=1889.0
epoch=191/400 train_loss=0.0044 val_loss=1.5676 val_acc1=63.116 best=63.582 lr=5.438e-04 sec=1890.1
epoch=192/400 train_loss=0.0044 val_loss=1.5724 val_acc1=63.078 best=63.582 lr=5.400e-04 sec=1886.0
epoch=193/400 train_loss=0.0044 val_loss=1.5702 val_acc1=63.352 best=63.582 lr=5.361e-04 sec=1888.3
